,LocatiePostcode,Soort aanvraagOmschrijvingKadastrale aanduiding,BVnummer,DatumBinnenkomst,Einddatum  ,EindStatus
46,Plantsoen 2311KD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureherinrichting Plantsoen rondom het 3 Oktobermonument  Plantsoen/GeregrachtE 01981,171592,02-06-2017,18-09-2017,Verleend
47,Prins Hendrikstraat 332316CM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren aanbouwK 05706A0001,170737,14-03-2017,01-06-2017,Verleend
48,Rapenburg 412311GG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenoveren en uitbreiden dakkapel en wijzigen achtergevel kozijnF 02632G0000,170853,23-03-2017,01-06-2017,Verleend
49,Rapenburg 622311EZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen achterzetbeglazing kozijnen achtergevelG 01585G0000,171607,02-06-2017,27-11-2017,Verleend
50,Rapenburg 762311GA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen van een woningG 00625G0000,171609,03-06-2017,29-09-2017,Verleend
51,Rijndijk 2702331AN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen berging in voortuinW 02714G0000,164023,13-04-2017,07-06-2017,Verleend
52,Rijnsburgerweg 922333AD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen woonhuis tot drie appartementenR 00903G0000,171570,31-05-2017,28-09-2017,Verleend
53,Rooseveltstraat 82321BM,Kabels en Leidingen Nutsaanleg gasleidingen Liander NVO 05589A0010,171619,12-05-2017,07-06-2017,Verleend
54,Rooseveltstraat 82321BM,Kabels en Leidingen Nutsaanleg elektraleidingen Liander NVO 05589A0010,171620,12-05-2017,07-06-2017,Verleend
55,Sint Jorissteeg 2311JA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren entree Sint Jorissteeg  hoek Jorishuis - LambertshofD 01946,170490,24-04-2017,06-06-2017,Verleend
56,Stevensbloem 2331JA,Kabels en Leidingen Nutsaanleg elektraleidingen Alliander,171397,16-05-2017,01-06-2017,Verleend
57,Stille Rijn 112312DE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasH 04282A0001,170637,03-03-2017,07-06-2017,Verleend
58,Stokroos 332317EN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel achtergevelS 03579G0000,171432,17-05-2017,01-06-2017,Verleend
59,Turfmarkt 92312CE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen gevelreclameH 00368G0000,171585,01-06-2017,27-07-2017,Verleend
60,Vlietpark 64A2323LK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen schuur  volkstuinkavelA 02359,170950,31-03-2017,01-06-2017,Verleend
61,Vlietweg 66T2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen plantenkas  Wilgenpad 80,171575,31-05-2017,07-07-2017,Verleend
62,Vondellaan 702332AH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeR 01064G0000,171606,02-06-2017,03-08-2017,Niet ontvankelijk
63,Voorjaarszegge 12318ZP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen schuttingS 05012G0000,171044,09-04-2017,01-06-2017,Verleend
64,Vrouwenweg 42322LK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen schuurV 02132G0000,171604,02-06-2017,06-07-2017,Afgehandeld
65,Wassenaarseweg 192333AM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw kantoorpand tot 16 appartementenR 01747,171571,01-06-2017,05-09-2017,Niet ontvankelijk
66,Witte Singel 642311BM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen van de uitbouw en het verbouwen van de woningM 07561A0001,171610,05-06-2017,31-08-2017,Verleend
67,Zoeterwoudseweg 92321GL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen voorgevel en zijgevel en plaatsen reclameO 03076,171608,02-06-2017,25-09-2017,Verleend
0,Archimedesweg 62333CN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanleg glasvezelverbinding tbv Airbus,171531,30-05-2017,30-06-2017,Afgehandeld
1,Arthur van schendelstraat 2321WE,Kabels en Leidingen Telecomaanleg telecommunicatiekabels Netwero Exploitatiemaatschappij B.V.,171086,12-04-2017,29-05-2017,Verleend
2,Avicennapad ,Kabels en Leidingen Telecomaanleg telecommunicatiekabels Ziggo,171392,15-05-2017,29-05-2017,Verleend
3,Bachstraat 2324GH,Kabels en Leidingen Nutsvervangen gasleidingen Alliander,171062,10-04-2017,29-05-2017,Verleend
4,Da Costastraat 282321AN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen kapverdiepingO 01090G0000,162508,03-02-2017,30-05-2017,Verleend
5,Darwinweg 242333CR,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduredichtzetten videX 04326G0000,171030,07-04-2017,31-05-2017,Verleend
6,De Meij v Streefkerkstr 182313JN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden van de woning aan de achterzijde door het vervangen en vergroten van de  uitbouw aan de achterzijdeM 07556G0000,171541,30-05-2017,24-07-2017,Verleend
7,Donsvlinder 312317KH,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken carportS 02985G0000,171509,25-05-2017,13-07-2017,Niet ontvankelijk
8,F. Bordewijkpad 92321WB,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken overkapping,171528,29-05-2017,21-06-2017,Vervallen
9,Gangetje 62311ER,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningD 02001G0000,163838,12-12-2016,01-06-2017,Verleend
10,Groenoordstraat 12316AX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw tot 5 appartementenK 01024G0000,170065,08-01-2017,30-05-2017,Verleend
11,Haarlemmerstraat 522312GC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw winkelruimte tot woonruimte  zijde KloosterH 04192A0001,163854,06-04-2017,30-05-2017,Verleend
12,Hogewoerd 1452311HK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanpassen trafodeurD 01988A0214,171522,29-05-2017,21-07-2017,Verleend
13,Hugo van Woerdenstraat 2332PE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen 35 bomenX 04293,171543,30-05-2017,29-06-2017,Verleend
14,Klaproos 112317EJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapelS 02521G0000,171377,12-05-2017,30-05-2017,Verleend
15,Klipperwerf 92317DX,Onttrekkingwijzigen gebruik naar kamerverhuur met 5 wooneenhedenS 00624G0000,171530,29-05-2017,13-10-2017,Verleend
16,Kloksteeg 72311SK,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningG 01700G0000,171547,05-05-2017,30-04-2018,Verleend
17,Kolfmakersteeg 12311VE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie kapconstructieF 00710,170391,13-02-2017,30-05-2017,Verleend
18,Koninginnelaan 882313AT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen 2 dakkapellen en aanpassen dakconstructieM 04668G0000,162902,26-05-2017,01-09-2017,Verleend
19,Kooilaan 41B2315EB,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunning,171553,30-05-2017,25-07-2017,Afgehandeld
20,Kooilaan 41B C2315EB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen 3 tafels met stoelen,171532,30-05-2017,14-07-2017,Niet ontvankelijk
21,Kruisstraat 122312BH,Onttrekkingverbouw naar kamerverhuur met 3 wooneenhedenB 00042G0000,171554,26-05-2017,07-11-2017,Verleend
22,Lammenschansweg 122313DM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatiewerkzaamheden aan woningM 05826G0000,170449,16-02-2017,26-05-2017,Verleend
23,Lange Mare 402312GS,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningH 03481G0000,171527,22-05-2017,16-01-2018,Verleend
24,Leliestraat 1042313BJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwM 04727G0000,171518,28-05-2017,04-10-2017,Verleend
25,Leliestraat 1082313BJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwM 04725G0000,171517,28-05-2017,04-10-2017,Verleend
26,Maredijk 72316VR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden woningL 01976G0000,171513,28-05-2017,30-06-2017,Niet ontvankelijk
27,Morsweg 2312AA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gevelL 02249,170608,02-03-2017,30-05-2017,Verleend
28,Oude Rijn 1a2312HB,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning,171546,30-05-2017,27-06-2017,Verleend
29,Oude Singel 162312RA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureherstel winkelpui  plaatsen isolatieglas en wijzigen kleurstellingB 01181G0000,170997,05-04-2017,30-05-2017,Verleend
30,Oude Singel 1522312RG,Aanvraag diverse vergunningWijzigen Openbare RuimteB 00918G0000,171556,23-05-2017,31-05-2017,Afgehandeld
31,Oude Singel 1522312RG,Aanvraag diverse vergunningterrasvergunning (tijdelijke terrasboot t.b.v. de El Cid)B 00918G0000,171557,23-05-2017,28-06-2017,Afgehandeld
32,Plantsoen 692311KJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanpassingen indeling begane grondD 01325G0000,170842,23-03-2017,29-05-2017,Verleend
33,Polderpad 82322LB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen kas-serre,171520,29-05-2017,22-08-2017,Verleend
34,Staalwijkstraat 22313XR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwM 08063G0000,171544,30-05-2017,07-06-2017,Vervallen
35,Stadspolderweg 312316AH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen tafels en stoeltjes en leggen vloerbedekkingK 05505G0000,171514,28-05-2017,30-06-2017,Niet ontvankelijk
36,Stille Mare 42312DH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen 6 parasolsH 03850G0000,170149,13-01-2017,31-05-2017,Verleend
37,Ter Haarkade 52321AS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw woning tot 2 appartementenO 03294G0000,171558,31-05-2017,17-07-2017,Verleend
38,Tiboel Siegenbeekstraat 292313HA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen boom voortuinM 06135G0000,171555,31-05-2017,23-06-2017,Afgehandeld
39,Timorstraat 462315BM,Onttrekkingverbouw naar kamerverhuur met 2 wooneenhedenN 01545G0000,171552,26-05-2017,06-07-2017,Niet ontvankelijk
40,Utrechtse Veer 22A2311ND,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen tot 4 wooneenhedenD 01848,171525,29-05-2017,12-06-2017,Vervallen
41,Valkenpad 262317AN,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningS 03403A0001,171565,31-05-2017,25-07-2017,Afgehandeld
42,Van der Hoevenstraat 142313VA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel aan de voor- en achtergevelzijdeQ 00063G0000,171000,06-04-2017,31-05-2017,Verleend
43,Vijf Meiplein 22321BP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasO 03394A0001,170382,09-02-2017,29-05-2017,Verleend
44,Vlietweg 2323LA,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedureaanleg werkterrein Oost Vlietweg thv nr 90V 02036,171031,05-05-2017,08-08-2017,Verleend
45,Voorschoterweg 62324NE,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning,171545,30-05-2017,12-07-2017,Verleend
46,Vrouwenkerkkoorstraat 22312WP,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap en standplaats  Leidens Ontzet)H 04106A0002,171526,28-05-2017,13-09-2017,Verleend
47,Willem Barentszstraat 92315TZ,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebrandveilig gebruikN 02008G0000,171549,31-05-2017,20-09-2017,Niet ontvankelijk
48,Willem Dreeslaan 242314GD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen berging zijerfO 04690G0000,171516,28-05-2017,11-07-2017,Weigering
49,Willemstraat 22316CS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenoveren woningenK 02597G0000,171511,26-05-2017,21-09-2017,Verleend
50,Zijlsingel 462315KD,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunningK 04564G0000,171560,30-05-2017,10-07-2017,Verleend
51,Zijlsingel 462315KD,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)K 04564G0000,171561,30-05-2017,10-07-2017,Verleend
52,Zoeterwoudseweg 112321GL,Ligplaatsvergunningaanvraag ligplaatsvergunningO 03000G0000,171533,29-05-2017,,
0,3e Binnenvestgracht 23L2312NR,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresplitsen bedrijfsunit,171422,16-05-2017,06-07-2017,Verleend
1,Aalmarkt 142311EC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclameG 01984G0000,171464,19-05-2017,03-07-2017,Vervallen
2,Aalmarkt 212311EC,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap  Leidse Lakenfeesten 2017)G 01923G0000,171475,22-05-2017,08-06-2017,Verleend
3,Bachstraat 2324GH,Kabels en Leidingen Nutsvervangen gasleidingen Alliander,171339,10-05-2017,23-05-2017,Verleend
4,Bachstraat 5902324HD,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning,171500,24-05-2017,14-09-2017,Verleend
5,Bargelaan 82333CT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terras,171467,19-05-2017,06-07-2017,Verleend
6,Bloemistenlaan 52313BA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitvoeren achterstallig onderhoudM 08187G0000,171414,15-05-2017,24-05-2017,Afgehandeld
7,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen luifel  tuinnr. D33T 06228G0000,171407,09-05-2017,01-06-2017,Verleend
8,Brederostraat 282332BB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouw achterzijdeR 00932G0000,171419,16-05-2017,03-07-2017,Verleend
9,Breestraat 602311CS,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunning,171504,24-05-2017,,
10,Bruggestraat 102314BB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel aan voorzijdeT 06071G0000,171017,06-04-2017,23-05-2017,Verleend
11,Burggravenlaan 12313HM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen kozijnenM 05887G0000,171497,24-05-2017,14-09-2017,Verleend
12,Carneoolstraat 1082332KD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouw  vervangen en wijzigen indeling gevelkozijnenX 03069G0000,170786,20-03-2017,22-05-2017,Verleend
13,Corantijnstraat 2A2315VR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen reclamebord en 5 spandoekenN 01970G0000,171468,18-05-2017,07-07-2017,Vervallen
14,Damlaan 222332XH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw schoolgebouw en uitbreiden nieuwbouwR 00641G0000,163496,19-12-2016,18-05-2017,Verleend
15,De Gijselaarstraat 32313JW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen kozijnenM 07890G0000,171443,18-05-2017,09-06-2017,Vervallen
16,De Sitterlaan 58A2313TR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een trap en functiewijziging van de 3e verdiepingM 08006A0002,170364,10-02-2017,19-05-2017,Verleend
17,De Sitterlaan 1232313TM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurelegaliseren dakkapel en realiseren achteruitbouwQ 00026G0000,171487,23-05-2017,27-06-2017,Verleend
18,Dianastraat 222314BK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden dakopbouw met dakterras en uitbreiding achtergevel begane grondT 06436G0000,162649,23-08-2016,24-05-2017,Verleend
19,Einsteinweg 1012333CB,Kabels en Leidingen Nutsuitbreiding/aanpassing elektraleidingen AllianderX 03880G0000,171482,12-05-2017,23-05-2017,Verleend
20,Flevoweg 52318BZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar speelhal (airsoft centrum)S 03516,171429,16-05-2017,06-07-2017,Verleend
21,Gabriël Metzustraat 13A2316AJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijde,171403,14-05-2017,29-06-2017,Verleend
22,Gangetje 12311ER,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren raam in de voorgevelG 01871,170663,07-03-2017,18-05-2017,Verleend
23,Gemeente Leiden ,Aanvraag collectevergunningcollectevergunning (t.b.v. Stichting Prinses Beatrix Spierfonds),171452,17-05-2017,07-06-2017,Verleend
24,Gemeente Leiden ,Aanvraag vergunning kledinginzamelingkledinginzameling 2018  (Second Life Textile t.b.v. Pink Ribbon),171454,17-05-2017,05-07-2017,Verleend
25,Haarlemmerstraat 222312GA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasH 01943G0000,171415,12-05-2017,25-07-2017,Verleend
26,Haarlemmerstraat 482312GB,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunningH 00283G0000,171494,22-05-2017,09-11-2017,Afgehandeld
27,Haarlemmerstraat 2972312DV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasH 02809G0000,171465,19-05-2017,24-07-2017,Verleend
28,Hartesteeg 132312JW,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning,171313,14-04-2017,24-05-2017,Verleend
29,Haven 622312ML,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningC 01131G0000,171505,23-05-2017,12-06-2017,Afgehandeld
30,Havenplein 22312GZ,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap  Leidse Lakenfeesten 2017)H 04071G0000,171450,18-05-2017,08-06-2017,Verleend
31,Herenstraat 72313AD,Aanvraag exploitatievergunning sexinrichting of escortbedrijfexploitatievergunning seksinrichtingM 08689G0000,171470,19-05-2017,01-08-2017,Verleend
32,Herenstraat 182313AL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapellen en vergroten uitbouwM 07982G0000,170348,08-02-2017,18-05-2017,Verleend
33,Hof van Roomburgh 12314ZB,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebrandveilig gebruikQ 01461G0000,171489,24-05-2017,22-09-2017,Niet ontvankelijk
34,Hooglandse Kerkgracht 25A2312HS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren van een dakterras,170284,30-03-2017,19-05-2017,Verleend
35,Hooigracht 362312KT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie pannendaken en vervangen daksinglesI 00359G0000,171430,16-05-2017,14-07-2017,Verleend
36,Jan van Houtkade 272311PD,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresplitsen woning in 2 appartementenE 01555G0000,171471,22-05-2017,30-08-2017,Verleend
37,Kagerstraat 12334CP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureonderhoud aan monumentale tegelvloeren begane grond,171469,22-05-2017,20-09-2017,Verleend
38,Kaiserstraat 22311GR,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap  Leidens Ontzet)F 01454G0000,171477,22-05-2017,14-08-2017,Afgehandeld
39,Kanaalpark 1472321JV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen 15 bomen en verplanten 9 bomenO 04630G0000,171496,24-05-2017,29-06-2017,Niet ontvankelijk
40,Klokpoort 12312CX,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurerealiseren 13 appartementenB 03370,171448,18-05-2017,,
41,Koolgracht 82312PD,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresloop pand en maken 4 appartementenB 03619,160705,22-05-2017,31-05-2017,Vervallen
42,Koppenhinksteeg 102312HX,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebouwen 13 stadsappartementen en winkel,161995,24-05-2017,23-08-2017,Vervallen
43,Kort Rapenburg 12311GC,Kabels en Leidingen Telecomaanleg telecommunicatiekabels Ziggo BVF 01284G0000,171336,10-05-2017,22-05-2017,Verleend
44,Lammenschansweg 1402321JX,"Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk aanleggen buurttuin "" Schanstuin""O 02236G0000",171488,24-05-2017,15-06-2017,Vervallen
45,Lange Mare 362312GS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasH 02730G0000,170641,03-03-2017,23-05-2017,Verleend
46,Langegracht 70D2312NV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevloerrenovatie Brouwerij,171102,13-04-2017,18-05-2017,Verleend
47,Langegracht 932312NX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen balkonhekken en galerijhekken  Langegracht 93 t/m 107G,171456,19-05-2017,14-07-2017,Verleend
48,Levendaal 812311JG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen geluidwerende voorzieningen woning,170955,31-03-2017,22-05-2017,Verleend
49,Levendaal 912311JG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen geluidwerende voorzieningen woningE 01382G0000,170975,04-04-2017,24-05-2017,Verleend
50,Levendaal 143A2311JH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen geluidwerende voorzieningen bovenwoningD 01878A0002,171472,22-05-2017,24-07-2017,Verleend
51,Levendaal 1512311JJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen van geluidwerende voorzieningen aan de woningD 01962G0000,171082,12-04-2017,24-05-2017,Verleend
52,Levendaal 1532311JJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie woonhuisD 01960G0000,171460,19-05-2017,13-07-2017,Verleend
53,Louis Elsevierstraat 272332PL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeX 03643G0000,171404,14-05-2017,10-07-2017,Verleend
54,Maarsmansteeg 10A2311EE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terras,171110,14-04-2017,23-05-2017,Verleend
55,Marienpoelstraat 2334CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen brug voor fietsers en voetgangers over PoelweteringP 03560,170487,21-02-2017,24-05-2017,Verleend
56,Morsstraat 92312BK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasB 00139G0000,171433,17-05-2017,23-06-2017,Verleend
57,Muzikantenstraat 22334GP,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurewijzigen gebruik en plaatsen woonwagenP 02881,170880,27-03-2017,18-07-2017,Verleend
58,Muzikantenstraat 42334GP,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedureverplaatsen woonwagen en plaatsen bergingP 02881,170969,04-04-2017,18-07-2017,Verleend
59,Newtonweg 12333CP,Kabels en Leidingen Gebruik Openbare Ruimteaanleg telecommuncatiekabels Open Fiber,171311,08-05-2017,23-05-2017,Verleend
60,Niels Bohrweg 12333CA,Kabels en Leidingen Nutsaanleg elektraleidingen,171366,11-05-2017,18-05-2017,Verleend
61,Nieuwe Mare 292312NL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen tegelwerk voorgevelB 03380A0001,171480,23-05-2017,04-10-2017,Verleend
62,Nieuwe Rijn 192312JC,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap  Leiden Marathon)I 00052G0000,171394,16-05-2017,18-05-2017,Verleend
63,Nieuwe Rijn 192312JC,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap  Lakenfeesten)I 00052G0000,171396,16-05-2017,24-05-2017,Verleend
64,Nieuwe Rijn 412312JG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terras (gevelterras)I 00262G0000,170965,03-04-2017,24-05-2017,Verleend
65,Nieuwe Rijn 492312JH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gevel en indelingI 00276,171490,24-05-2017,17-07-2017,Niet ontvankelijk
66,Nieuwe Rijn 522312JH,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap  Lakenfeesten)I 03258A0002,171098,12-04-2017,18-05-2017,Verleend
67,Obrechtstraat 22324VN,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk plaatsen portocabinO 02269G0000,171486,23-05-2017,08-09-2017,Verleend
68,Omegaplantsoen 5422321KV,Kabels en Leidingen Telecomaanleg telecommunicatiekabels KPN B.V.,171058,07-04-2017,23-05-2017,Verleend
69,Oosterkerkstraat 182312SN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurereinigen gevel kantoor MeelfabriekC 02102,171481,23-05-2017,15-06-2017,Verleend
70,Oude Rijn 232312HB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen isolerend glas voor en achterI 00016G0000,171428,16-05-2017,20-07-2017,Verleend
71,Oude Vest 432312XS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen van de foyersH 02239G0000,170232,27-01-2017,24-05-2017,Verleend
72,Oude Vest 2092312XZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren 2 appartementen in voormalige opslagruimteH 03058,171426,16-05-2017,09-08-2017,Niet ontvankelijk
73,Park de Put 12312BM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van 1 wandarmatuurB 03700G0000,171436,18-05-2017,10-11-2017,Verleend
74,Pieterskerk-Choorsteeg 242311TR,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunningG 00765G0000,171127,11-04-2017,23-05-2017,Verleend
75,Pieterskerk-Choorsteeg 242311TR,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsverguning (kansspelautomaten)G 00765G0000,171128,11-04-2017,23-05-2017,Verleend
76,Pieterskerk-Choorsteeg 242311TR,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningG 00765G0000,171130,11-04-2017,23-05-2017,Verleend
77,Rapenburg 212311GE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen groen dak op uitbouwF 01281G0000,170884,27-03-2017,23-05-2017,Verleend
78,Rapenburg 342311EX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen van een kantoorgedeelte tot appartementG 02040A0002,171492,24-05-2017,04-08-2017,Verleend
79,Rembrandtstraat 22311VW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasF 00923G0000,171410,12-05-2017,04-09-2017,Verleend
80,Rembrandtstraat 272311VV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen serreF 01566G0000,171420,16-05-2017,04-07-2017,Vervallen
81,Rijndijkstraat 692313NH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwQ 00207,171499,24-05-2017,13-09-2017,Verleend
